keys,en,zh_CN,zh_TW,ja
locTitle,DELTARUNE Chinese Patcher,DELTARUNE 汉化安装器,DELTARUNE 漢化安裝器,DELTARUNE中国語化インストーラー
locLanguageName,English,中文（简体）,中文（繁體）,日本語
locBrowse, Browse , 浏览, 瀏覽,参照
locLocalVer,Local patch version: ,本地补丁版本：,本地補丁版本：,ローカルパッチのバージョン：
locLatestVer,Latest patch version: ,最新补丁版本：,最新補丁版本：,最新のパッチバージョン：
locInstalledVer,Installed patch version: ,已安装补丁版本：,已安裝補丁版本：,インストール済みパッチ：
locUpdateAvailable, [Update Avaiable], [更新可用], [更新可用],\n[更新が利用可能です]
locPatch, Patch , 安装补丁, 安裝補丁,ﾊﾟｯﾁをｲﾝｽﾄｰﾙ
locLog,Log,日志,日誌,ログ
locClick2Copy,Click to copy to clipboard,点击复制到剪贴板,按下拷貝到剪貼簿,クリックしてクリップボードにコピー
locDeltaruneDir,Installation directory of the Steam version of DELTARUNE,DELTARUNE Steam 版安装目录,DELTARUNE Steam 版安裝目錄,DELTARUNE Steam版のインストール先
locSelectDRDir,Select DELTARUNE Steam Ver. installation directory,选择 DELTARUNE Steam 版安装目录,選擇 DELTARUNE Steam 版安裝目錄,DELTARUNE Steam版のインストール先を選択
locRequesting,Requesting...,获取中...,獲取中...,取得中...
locNotFound,Not found,未找到,未找到,見つかりません
locUpdatePatch, Download latest patch , 下载最新补丁包, 下載最新補丁包,最新版パッチをダウンロード
locUpdateDemoPatch,↓ Patch for demo ↓,↓ Demo 版补丁 ↓,↓ Demo 版補丁 ↓,↓ Demo版パッチ ↓
locUpdatePatchAuto,Auto download,自动下载,自動下載,自動ダウンロード
locUpdatePatchBrowser,Download with Browser,通过浏览器下载,透過瀏覽器下載,ブラウザーでダウンロード
locUpdatePatchInfo,"< Auto download >\nAutomatically download latest patch\nOnly single thread supported, might be slow\n\n< Download with Browser >\nDownload latest patch with your browser, faster speed\nYou need to drag & drop it onto the patcher's window after download finished\n(No need for extracting it)\n\nPlease restart patcher after you finished",< 自动下载>\n自动下载最新的补丁包\n仅支持单线程，可能会很慢\n\n< 通过浏览器下載>\n通过你的浏览器下载最新的补丁包，速度更快\n下载完成后你需要将其拖到安装器窗口上\n（不需要解压）\n\n请在完成后重启安装器,< 自動下載>\n自動下載最新的補丁包\n僅支援單執行緒，可能會很慢\n\n< 透過瀏覽器下載>\n透過你的瀏覽器下載最新的補丁包，速度更快\n下載完成後你需要將其拖動到安裝器視窗上\n（不需要提取壓縮包）\n\n請在完成後重啟安裝器,< 自動ダウンロード>\n最新版のパッチを自動でダウンロードします\nシングルスレッドのみ対応のため、時間がかかる場合があります\n\n< ブラウザーでダウンロード>\nブラウザーから最新版のパッチをダウンロードします\nダウンロード後、インストーラーのウィンドウへドラッグ＆ドロップしてください\n（解凍は不要です）\n\n完了後、インストーラーを再起動してください
locUpdatePatchInfoMac,"< Auto download >\nAutomatically download latest patch\nOnly single thread supported, might be slow\n\n< Download with Browser >\nDownload latest patch with your browser, faster speed\nYou need to move it into the Contents/MacOS folder in the patcher's package after download finished (No need for extracting it)\n\nPlease restart patcher after you finished",< 自动下载>\n自动下载最新的补丁包\n仅支持单线程，可能会很慢\n\n< 通过浏览器下載>\n通过你的浏览器下载最新的补丁包，速度更快\n下载完成后你需要自行将其移动到安装器包中的 Contents/MacOS 下（不需要解压）\n\n请在完成后重启安装器,< 自動下載>\n自動下載最新的補丁包\n僅支援單執行緒，可能會很慢\n\n< 透過瀏覽器下載>\n透過你的瀏覽器下載最新的補丁包，速度更快\n下載完成後你需要自行將其移動到安裝器包中的 Contents/MacOS 下（不需要提取壓縮包）\n\n請在完成後重啟安裝器,< 自動ダウンロード>\n最新版のパッチを自動でダウンロードします\nシングルスレッドのみ対応のため、時間がかかる場合があります\n\n< ブラウザーでダウンロード>\nブラウザーから最新版のパッチをダウンロードします\nダウンロード後、インストーラー内の「Contents/MacOS」フォルダーへ移動してください\n（解凍は不要です）\n\n完了後、インストーラーを再起動してください
locUpdate, Newer version detected: {VER} , 检测到新版：{VER} , 偵測到新版：{VER} ,新しいバージョンを検出しました：{VER}
locClickToUpdate,Click to download latest version with browser,点击使用浏览器下载最新版本,點擊使用瀏覽器下載最新版本,クリックしてブラウザーから最新版をダウンロード
locDownloadFailed,Download failed: ,下载失败：,下載失敗：,ダウンロードに失敗しました：
locWaiting4Restart, Waiting for restart , 等待重启, 等待重啟,再起動待機中
locRestartIn5Sec,Restarting in 5 seconds,将在 5 秒内重启,將在 5 秒內重啟,5秒後に再起動します
locPleaseRestart,Please restart patcher,请重启安装器,請重啟安裝器,インストーラーを再起動してください
locTimeout, Connection Timeout , 连接超时, 連線逾時,接続がタイムアウトしました
locResult,Result,结果,結果,結果
locCaution,Caution,注意,注意,注意
locPatched,Patched!\nElapsed {USEDTIME}s\nOriginal files was moved to\nDELTARUNE/backup as backup,安装完成！\n总共耗时 {USEDTIME} 秒\n原本的文件已经移动到了\nDELTARUNE/backup 作为备份,安裝完成！\n總共耗時 {USEDTIME} 秒\n原本的檔案已經移動到了\nDELTARUNE/backup 作為備份,インストールが完了しました！\n所要時間：{USEDTIME}秒\n元のファイルは\nDELTARUNE/backupへ\nバックアップされています
locPatchedFallback,"Patched!\nElapsed {USEDTIME}s\nOld version detected.\nIt's still playable, but\nupdate game ASAP is recommended",安装完成！\n总共耗时 {USEDTIME} 秒\n检测到游戏是旧版\n仍可游玩，但推荐尽快更新,安裝完成！\n總共耗時 {USEDTIME} 秒\n檢測到遊戲是舊版\n仍可遊玩，但推薦儘快更新,インストールが完了しました！\n所要時間：{USEDTIME}秒\n古いバージョンのゲームを検出しました\nそのままプレイできますが、できるだけ早くアップデートすることをおすすめします
locPatchFailedPath,Patch failed after {USEDTIME}s\nYou might selected incorrect DELTARUNE path,耗时 {USEDTIME} 秒后安装失败\n你可能选择了一个错误的 DELTARUNE 路径,耗時 {USEDTIME} 秒後安裝失敗\n你可能選擇了一個錯誤的 DELTARUNE 路徑,{USEDTIME}秒後にインストールに失敗しました\n選択したパスはDELTARUNEのものではない可能性があります
locPatchFailedSamePath,Patch failed after {USEDTIME}s\nThe patcher seems to be in the DELTARUNE path\nPlease move to prevent potential errors,耗时 {USEDTIME} 秒后安装失败\n安装器似乎在 DELTARUNE 路径中\n请移动以防止潜在错误,耗時 {USEDTIME} 秒後安裝失敗\n安裝器似乎在 DR 路徑中\n請移動以防止潛在錯誤,{USEDTIME}秒後にインストールに失敗しました\nインストーラーがDELTARUNEフォルダー内にあります\n予期しない問題を防ぐため、別の場所へ移動してください
locPatchFailedDiskSpace,Patch failed after {USEDTIME}s\n(Insufficient disk space)\nPlease clean your disk space,耗时 {USEDTIME} 秒后安装失败\n（磁盘空间不足）\n请清理你的磁盘空间,耗時 {USEDTIME} 秒後安裝失敗\n（磁碟空間不足）\n請清理你的磁碟空間,{USEDTIME}秒後にインストールに失敗しました\n（ディスク容量不足）\nディスクの空き容量を確保してください
